price,category,product,isActive
5.75,perfumaria,Sabonete Líquido Lux Botanicals Buquê de Jasmim Refil 200mL,TRUE
9.45,perfumaria,Fio Dental Johnson & Johnson Reach Essencial 100m,TRUE
11.47,perfumaria,Desodorante Dove Roll-On sem Perfume Women 50mL,TRUE
1.47,perfumaria,Sab. Francis 85g Suave Branco,TRUE
22.35,perfumaria,Desodorante Dove Aerossol Original 89g c/2,TRUE
7.49,perfumaria,Papel Higiênico Neve Folha Tripla 20m c/4,TRUE
5.97,perfumaria,Papel Higiênico Fofinho Folha Simples Neutro 30m C/8,TRUE
3.49,perfumaria,Sabonete Líquido Rumo Verde Maçã Verde Refil 200mL,TRUE
11.90,perfumaria,Desodorante Rexona Aerossol Invisible Feminino 90g,TRUE
26.75,perfumaria,Papel Higiênico Neve Folha Tripla Supreme 20m Leve 16 Pague 15,TRUE
29.90,perfumaria,Lenço Umedecido Huggies Classic c/ 48 Leve 4 e Pague 3,TRUE
1.87,perfumaria,Sabonete Francis 90g Rosa,TRUE
12.97,perfumaria,Aparelho de Depilar Gillette Prestobarba 3 Feminino c/2,TRUE
8.15,perfumaria,Escova Dental Condor Avantix Macia 40 Leve 2 Pague 1,TRUE
1.48,perfumaria,Sabonete Johnson & Johnson Erva Doce 80g,TRUE
11.90,perfumaria,Desodorante Rexona Aerossol V8 90g,TRUE
11.90,perfumaria,Desodorante Rexona Aerossol MotionSense Antibacterial +Invisible Masculino 90g,TRUE
1.48,perfumaria,Sabonete Johnson & Johnson Romã 80g,TRUE
1.49,perfumaria,Sabonete Nivea Proteínas do Leite 85g,TRUE
14.90,perfumaria,Creme Dental Colgate Luminous White 70g Leve 3 e Pague 2,TRUE
5.79,perfumaria,Creme Dental Colgate Total 12 Advantage 90g,TRUE
14.90,perfumaria,Desodorante Dove Aerossol Original 89g,TRUE
19.90,perfumaria,Kit Creme Dental Sensodyne Branquador Extra Fresh 50g Leve 3 e Pague 2,TRUE
6.97,perfumaria,Haste Flexível Cotonetes Johnson & Johnson c/150,TRUE
5.75,perfumaria,Sabonete Líquido Lux Botanicals Rosas Francesas Refil 200mL,TRUE
7.98,perfumaria,Xampu (Shampoo) Seda Pureza Refrescante 325mL,TRUE
15.90,perfumaria,Kit Seda Ceramidas Xampu (Shampoo) 325mL + Condicionador 325mL,TRUE
8.49,perfumaria,Xampu (Shampoo) Palmolive Liss Intense 350mL,TRUE
8.75,perfumaria,Sabonete Líquido Palmolive Nutri Milk 250mL,TRUE
5.49,perfumaria,Algodão Cremer Disco 37g,TRUE
18.90,perfumaria,Fralda Cremer Magic Care Hiper c/24,TRUE
5.97,perfumaria,Aparelho de Barbear Gillette Prestobarba Ultragrip com Cabeça Móvel C/2,TRUE
3.39,perfumaria,Sabonete Dove Baby Hidratação Sensível 75g,TRUE
8.25,perfumaria,Absorvente Sempre Livre Noturno com Abas Agentes Naturais c/8,TRUE
1.59,perfumaria,Sab.palmolive 85g Oleo Nutr.came.ol.amen,TRUE
29.90,perfumaria,Fralda Huggies Turma Da Mônica Supreme Care Mega XXG c/26,TRUE
3.49,perfumaria,Sabonete Líquido Rumo Verde Morango Spumante Refil 200mL,TRUE
16.90,perfumaria,Escova Dental Colgate Slim Black Macia Leve 2 e Pague 1,TRUE
11.90,perfumaria,Desodorante Rexona Aerossol Cotton Dry 90g,TRUE
17.97,perfumaria,Antisséptico Bucal Listerine Cool Mint 500mL + 250mL,TRUE
16.85,perfumaria,Xampu (Shampoo) Clear Limpeza Diária 2x1 200mL,TRUE
13.97,perfumaria,Absorvente Intimus Gel com Abas Suave C/32,TRUE
1.99,perfumaria,Sabonete Protex Macadâmia 85g,TRUE
4.97,perfumaria,Papel Higiênico Sirius Folha Simples 30m c/8,TRUE
5.90,perfumaria,Papel Higiênico Neve Folha Dupla 30m c/4,TRUE
11.90,perfumaria,Desodorante Rexona Aerossol Sem Perfume 90g,TRUE
11.79,perfumaria,Escova Dental Sorriso Extreme White 5 Estrelas Macia Leve 2 Pague 1,TRUE
4.85,perfumaria,Toalha Umedecida Cottonbaby Cuidados com a Pele C/50,TRUE
10.90,perfumaria,Desodorante Axe Aerossol Body Black 96g,TRUE
3.49,perfumaria,Esponja Ponjita Banho Azul,TRUE
1.59,perfumaria,Sabonete Palmolive Segredo Sedutor Framboesa e Turmalina 85g,TRUE
5.79,perfumaria,Creme Dental Colgate Total Whitening 90g,TRUE
8.97,perfumaria,Condicionador Palmolive Naturals Maciez Prolongada 350mL,TRUE
8.75,perfumaria,Escova Dental Colgate Classic Leve 3 Pague 2,TRUE
9.95,perfumaria,Sabonete Protex Limpeza Profunda Leve 6 Pague 5 85g,TRUE
14.49,perfumaria,Protetor Diário Intimus Days c/80,TRUE
12.97,perfumaria,Aparelho de Barbear Gillette Prestobarba 3 c/2,TRUE
14.97,perfumaria,Talco Johnson Baby 200g,TRUE
8.85,perfumaria,Fio Dental Colgate Menta 50m,TRUE
22.35,perfumaria,Desodorante Dove Aerossol Men Care Cuidado Total 89g c/2,TRUE
16.90,perfumaria,Escova Dental Colgate Slim Macia Ultra Compacta Leve 2 e Pague 1,TRUE
22.90,perfumaria,Lâmina (Carga) Gillette Mach3 Sensitive c/2,TRUE
6.96,perfumaria,Sabonete Líquido Protex Para Mãos Balance Refil 200mL,TRUE
23.90,perfumaria,Kit Dove Reconstrução Completa Xampu (Shampoo) 400mL + Condicionador 200mL,TRUE
4.85,perfumaria,Toalha Umedecida Cottonbaby Hora de Ninar C/50,TRUE
21.90,perfumaria,Papel Higiênico Cisne Folha Dupla 30m Com 24,TRUE
1.48,perfumaria,Sabonete Johnson & Johnson Uva Verde 80g,TRUE
18.90,perfumaria,Fralda Cremer Baby Prática Hiper XXG c/16,TRUE
9.49,perfumaria,Sabonete Nivea Creme Soft Milk 250mL,TRUE
14.90,perfumaria,Kit TRESemmé Expert Detox Capilar Xampu (Shampoo) 400mL + Condicionador 200mL,TRUE
6.29,perfumaria,Sabonete Líquido Rexona Antibacterial Fresh 200mL,TRUE
4.85,perfumaria,Gel Dental Colgate Tandy Tutti Frutti 50g,TRUE
4.65,perfumaria,Absorvente Intimus Gel com Abas Soft c/8,TRUE
4.99,perfumaria,Absorvente Sempre Livre Adapt com Abas Agentes Naturais c/8,TRUE
15.90,perfumaria,Xampu (Shampoo) Head & Shoulders 3 em 1 200mL,TRUE
21.97,perfumaria,Desod.Creme Rexona 48G Men Clinical,TRUE
5.45,perfumaria,Creme para Pentear Palmolive Óleo Supreendente 150mL,TRUE
7.97,perfumaria,Desodorante Monange Aerossol Hidratação Intensiva 150mL,TRUE
11.97,perfumaria,Desodorante Nivea Aerossol sem Perfume 150mL,TRUE
2.97,perfumaria,Algodao Cremer Hidrófilo 25g,TRUE
3.49,perfumaria,Creme Dental Colgate Máxima Proteção Anticáries 90g,TRUE
10.97,perfumaria,Escova Dental Sorriso Tripla 123 Macia Leve 3 e Pague 2,TRUE
2.29,perfumaria,Creme Dental Closeup Triple Menta 70g,TRUE
4.75,perfumaria,Sabonete Prebo Limão Siciliano 100g,TRUE
65.90,perfumaria,Fralda Pampers Confort Sec Fortebag M c/70,TRUE
19.90,perfumaria,Kit Pantene Liso Extremo Xampu (Shampoo) 175mL + Condicionador 175mL,TRUE
11.97,perfumaria,Lenço Umedecido Huggies Classic c/48,TRUE
9.90,perfumaria,Desodorante Old Spice Aerossol Lenha 150mL,TRUE
10.47,perfumaria,Sabonete Líquido Protex Pro-Hidrata 250mL,TRUE
14.90,perfumaria,Desodorante Dove Aerossol Sem Perfume 89g,TRUE
14.90,perfumaria,Desodorante Dove Aerossol Men Care Invisible Dry 89g,TRUE
11.90,perfumaria,Desodorante Rexona Aerossol Powder Dry 90g,TRUE
11.90,perfumaria,Desodorante Rexona Aerossol MotionSense Antibacterial +Invisible Feminino 50mL,TRUE
9.90,perfumaria,Desodorante Old Spice Aerossol Pegador 150mL,TRUE
17.85,perfumaria,Desodorante Rexona Aerossol +Invisible 90g c/2,TRUE
17.97,perfumaria,Xampu (Shampoo) Huggies Turma da Mônica Suave Leve 400mL Pague 350mL,TRUE
1.29,perfumaria,Sabonete Rexona Antibacteriano Aloe 84g,TRUE
12.49,perfumaria,Sabonete Líquido Di Hellen Frutas Vermelhas 1L,TRUE
23.90,perfumaria,Kit Dove Rituais de Beleza do Mundo Óleo de Coco e Cúrcuma Xampu (Shampoo) 400mL + Condicionador 200mL,TRUE
2.39,perfumaria,Sabonete Ann Bow Rosas 90g,TRUE
3.66,perfumaria,Gel Dental Closeup Black 90g,TRUE
2.19,perfumaria,Sabonete Pom Pom Loção Hidratante 80g,TRUE
2.39,perfumaria,Sabonete Dove Men Care Clean Comfort 90g,TRUE
16.97,perfumaria,Xampu (Shampoo) Dove Men Care Proteção Anti-Caspa 200mL,TRUE
3.29,perfumaria,Absorvente Always Básico Com Abas Malha Suave Leve 8 Pague 7,TRUE
4.45,perfumaria,Sabonete Líquido Palmolive Nutrimilk Refil 200mL,TRUE
11.90,perfumaria,Desodorante Rexona Aerossol Antibacteriano Masculino 90g,TRUE
4.89,perfumaria,Gel Dental Closeup Liquifresh Ice 100g,TRUE
3.89,perfumaria,Haste Flexível Cottonbaby c/150,TRUE
1.79,perfumaria,Sabonete Biocrema Aveia 90g,TRUE
13.97,perfumaria,Toalha Umedecida Johnson & Johnson Baby Recém-Nascido C/48,TRUE
65.90,perfumaria,Fralda Pampers Confort Sec Fortebag XXG c/56,TRUE
1.49,perfumaria,Sabonete Nivea Aveia 85g,TRUE
1.39,perfumaria,Sabonete Lux Botanicals Orquídea Negra 85g,TRUE
3.49,perfumaria,Remevedor de Esmalte Butterfly Acetona 100mL,TRUE
14.90,perfumaria,Desodorante Dove Aerossol Romã & Verbena 89g,TRUE
1.59,perfumaria,Sabonete Palmolive Sensação Luminosa Óleo de Argan 85g,TRUE
11.97,perfumaria,Sabonete Líquido Ann Bow Glicerina 340mL,TRUE
65.90,perfumaria,Fralda Pampers Confort Sec Fortebag P c/74,TRUE
12.49,perfumaria,Sabonete Líquido Di Hellen Maçã Verde 1L,TRUE
6.99,perfumaria,Protetor Diário Intimus Days Sem Perfume C/40,TRUE
5.29,perfumaria,Creme Dental Oral-B Pro-Saúde Menta Suave 70g,TRUE
7.29,perfumaria,Creme Dental Colgate Luminous White 70g,TRUE
11.90,perfumaria,Desodorante Rexona Aerossol Bamboo 90g,TRUE
8.45,perfumaria,Absorvente Always Noturno Seca Leve 8 Pague 7,TRUE
8.97,perfumaria,Condicionador Palmolive Naturals Cuidado Absoluto 350mL,TRUE
16.90,perfumaria,Aparelho de Barbear Gillette Prestobarba3 SenseCare Leve 4 e Pague 3,TRUE
9.99,perfumaria,Xampu (Shampoo) Palmolive Naturals Kids 350mL,TRUE
5.79,perfumaria,Creme Dental Colgate Total 12 90g,TRUE
9.95,perfumaria,Sabonete Protex Macadâmia Leve 6 Pague 5 85g,TRUE
13.97,perfumaria,Toalha Umedecida Johnson & Johnson Baby Hora do Sono C/48,TRUE
29.90,perfumaria,Fralda Pampers Confort Sec Recém-Nascido (RN+) c/36,TRUE
13.90,perfumaria,Fita Dental Reach 50m,TRUE
11.97,perfumaria,Desodorante Nivea Aerossol Pearl Beauty 150mL,TRUE
26.97,perfumaria,Condicionador Pantene 3 Minutos Milagrosos Liso Extremo 170mL,TRUE
4.69,perfumaria,Absorvente Sempre Livre Especial com Abas Agentes Naturais c/8,TRUE
22.49,perfumaria,Creme Dental Colgate Sensitive Pro-Alivio 50g Leve 3 Pague 2,TRUE
14.97,perfumaria,Absorvente Interno Intimus Médio Leve 16 Pague 15,TRUE
10.90,perfumaria,Desodorante Axe Aerossol Antitranspirante Black 90g,TRUE
2.19,perfumaria,Sabonete Pom Pom Glicerinado 80g,TRUE
7.49,perfumaria,Desodorante Nivea Roll-On Black & White 50mL,TRUE
14.97,perfumaria,Absorvente Always Básico Com Abas C/32,TRUE
14.90,perfumaria,Aparelho de Depilar Gillette Venus Simply C/2 Aparelhos,TRUE
2.79,perfumaria,Creme Dental Sorriso Tripla Vitaminas 70g,TRUE
2.29,perfumaria,Creme Dental Closeup Triple Menta Americana 70g,TRUE
6.47,perfumaria,Desodorante Nívea Spray Fresh Active 90mL,TRUE
4.90,perfumaria,Escova Multiuso Condor Plástico com Alça Superior Sortida,TRUE
12.97,perfumaria,Aparelho de Barbear Bic Comfort 3 Black Night C/2,TRUE
1.39,perfumaria,Sabonete Lux Botanicals Lavanda 85g,TRUE
9.97,perfumaria,Papel Higiênico Doble Fd Neutro 30m C/8,TRUE
29.90,perfumaria,Fralda Huggies Turma Da Mônica Supreme Care Mega XG c/26,TRUE
29.90,perfumaria,Fralda Huggies Turma Da Mônica Supreme Care Mega P c/48,TRUE
8.90,perfumaria,Lenço de Papel Kleenex Original c/100,TRUE
65.97,perfumaria,Fralda Pampers Premium Care Mega Pack XG c/26,TRUE
4.85,perfumaria,Gel Dental Condor Bambinos Lilica Ripilica 50g,TRUE
21.45,perfumaria,Xampu (Shampoo) Johnson & Johnson Baby Cheirinho Prolongado 400mL,TRUE
16.85,perfumaria,Xampu (Shampoo) Clear Queda Control 200mL,TRUE
12.99,perfumaria,Xampu (Shampoo) L'Oréal Elseve Reparação Total 5 200mL,TRUE
19.25,perfumaria,Xampu (Shampoo) TRESemmé Hidratação Profunda 400mL,TRUE
59.97,perfumaria,Fralda Pampers Confort Sec Pods Mega Xxg/30,TRUE
19.25,perfumaria,Xampu (Shampoo) TRESemmé Detox Capilar 400mL,TRUE
14.97,perfumaria,Escova Dental Colgate Whitening Macia Leve 2 e Pague 1,TRUE
1.59,perfumaria,Sabonete Palmolive Hidrata & Perfuma Leite e Pétalas de Rosas 85g,TRUE
3.49,perfumaria,Remevedor de Esmalte Dauvan Acetona 100mL,TRUE
14.90,perfumaria,Desodorante Dove Aerossol Go Fresh Pepino 89g,TRUE
19.90,perfumaria,Protetor para Seios Johnson & Johnson Absorvente c/12.,TRUE
11.90,perfumaria,Desodorante Rexona Aerossol sem Perfume Masculino 90g,TRUE
1.39,perfumaria,Sabonete Lux Botanicals Flor de Baunilha 85g,TRUE
9.25,perfumaria,Creme Dental Oral-B 3D White Glamour 90g,TRUE
12.87,perfumaria,Absorvente Sempre Livre Adapt Plus Suave C/ Abas C/32,TRUE
3.97,perfumaria,Sabonete Lux Botanicals Buquê de Jasmin 85g c/4,TRUE
9.35,perfumaria,Desodorante Rexona Roll-On MotionSense Antibacterial +Invisible Feminino 50mL,TRUE
3.85,perfumaria,Lenço Umedecido Cottonbaby Refil c/70,TRUE
1.79,perfumaria,Sabonete Biocrema Erva Doce 90g,TRUE
9.10,perfumaria,Fio Dental Sanifill Clássico 125m,TRUE
7.99,perfumaria,Sabonete Líquido Di Hellen Pitanga Refil 400mL,TRUE
19.90,perfumaria,Escova Dental Colgate 360 Black Leve 2 e Pague 1,TRUE
25.29,perfumaria,Toalha Umedecida Pampers Fresh Clean c/ 96 un,TRUE
3.39,perfumaria,Sabonete Dove Baby Hidratação Enriquecida 75g,TRUE
19.27,perfumaria,Creme Dental Sensodyne Repair & Protect Whitening 100g,TRUE
23.97,perfumaria,Xampu (Shampoo) Head & Shoulders Coceira 400mL,TRUE
19.90,perfumaria,Escova Dental Colgate 360 Luminous White Leve 2 Pague 1,TRUE
7.45,perfumaria,Aparelho de Barbear Bic Sensitive Leve 7 e Pague 5,TRUE
8.39,perfumaria,Absorvente Intimus Gel com Abas Suave Leve 16 Pague 14,TRUE
23.75,perfumaria,Xampu (Shampoo) L'Oréal Elseve Reparação Total 5 400mL,TRUE
6.37,perfumaria,Escova Dental Oral-B Kids Mickey Macia,TRUE
16.90,perfumaria,Aparelho de Barbear Gillette Prestobarba 3 Leve 4 e Pague 3,TRUE
3.49,perfumaria,Sabonete Líquido Rumo Verde Erva Doce Refil 200mL,TRUE
7.49,perfumaria,Desodorante Nivea Roll-On Sem Perfume 50mL,TRUE
9.47,perfumaria,Escova Dental Condor Júnior Hotwheels Macia,TRUE
19.90,perfumaria,Creme Dental Sensodyne Rápido Alívio 50g Leve 3 e Pague 2,TRUE
6.96,perfumaria,Sabonete Líquido Protex Para Mãos Complete 12 Refil 200mL,TRUE
2.39,perfumaria,Sabonete Dove Creme e Flor de Peônia 90g,TRUE
29.90,perfumaria,Fralda Huggies Turma Da Mônica Supreme Care Mega G c/32,TRUE
1.79,perfumaria,Sabonete Biocrema Hidratante 90g,TRUE
1.87,perfumaria,Sabonete Francis Branco 90g,TRUE
10.49,perfumaria,Xampu (Shampoo) Huggies Turma da Mônica Camomila 200mL,TRUE
11.79,perfumaria,Protetor Diário Johnson & Johnson Carefree Proteção Perfumado c/40,TRUE
15.90,perfumaria,Lâmina (Carga) Gillette Mach3 Regular c/2,TRUE
9.35,perfumaria,Desodorante Rexona Roll-On Sport Fan 50mL,TRUE
26.90,perfumaria,Kit Pantene Hidratação Xampu (Shampoo) 400mL + Condicionador 175mL,TRUE
7.97,perfumaria,Desodorante Monange Aerossol Frutas Vermelhas 150mL,TRUE
14.45,perfumaria,Sabonete Líquido Dove Baby Hidratação Enriquecida Pump 200mL,TRUE
32.49,perfumaria,Lenço Umedecido Neutrogena Demaquilante Deep Clean c/25,TRUE
12.90,perfumaria,Antisséptico Bucal Plax Ice Infinity 500mL,TRUE
9.90,perfumaria,Desodorante Old Spice Aerossol VIP 150mL,TRUE
27.97,perfumaria,Condicionador Dove Óleo Nutrição 400mL,TRUE
2.69,perfumaria,Sabonete Nivea Creme Soft Milk 90g,TRUE
3.97,perfumaria,Sabonete Lux Botanicals Rosas Francesas 85g c/4,TRUE
10.97,perfumaria,Absorvente Always Noturno Proteção Total com Abas Ultra Active c/8,TRUE
10.97,perfumaria,Creme Dental Sensodyne Branquador Extra Fresh 50g,TRUE
29.90,perfumaria,Fralda Huggies Supreme Care Mega M c/40,TRUE
14.90,perfumaria,Aparelho de Barbear Bic Pele Sensível Leve 4 e Pague 3,TRUE
4.97,perfumaria,Absorvente Intimus Gel com Abas Suave Noturno c/8,TRUE
19.90,perfumaria,Kit Pantene Hidro-Cauterização Xampu (Shampoo) 175mL + Condicionador 175mL,TRUE
27.97,perfumaria,Absorvente Sempre Livre Noturno Com Abas Max Suave Leve 32 e Pague 24,TRUE
28.79,perfumaria,Sabonete Líquido Dermacyd Infantil 200mL,TRUE
17.29,perfumaria,Lenço Umedecido Dove Hidratação Sensível c/50,TRUE
7.97,perfumaria,Desodorante Monange Aerossol Flor de Lavanda 150mL,TRUE
22.90,perfumaria,Lâmina (Carga) Gillette Venus Divine C/2,TRUE
20.97,perfumaria,Sabonete Líquido Johnson & Johnson Baby Recém-Nascido 200mL,TRUE
1.29,perfumaria,Compressas Gaze Cremer Nao Esteril,TRUE
21.45,perfumaria,Xampu (Shampoo) Johnson Baby 400mL Cab.Cac.Camom,TRUE
12.97,perfumaria,Lenço Umedecido Neve Supreme c/48,TRUE
11.90,perfumaria,Creme Dental Sensodyne Rápido Alívio 90g,TRUE
15.87,perfumaria,Protetor Diário Johnson & Johnson Carefree Proteção Leve 80 e Pague 60,TRUE
17.90,perfumaria,Ampola De Tratamento Pantene Gold 15mL c/3,TRUE
18.90,perfumaria,Xampu (Shampoo) Pantene Brilho Extremo 400mL,TRUE
21.45,perfumaria,Xampu (Shampoo) Johnson & Johnson Baby Regular 400mL,TRUE
8.31,perfumaria,Creme Dental Phisalia Trá Lá Lá Baby Sem Flúor 70g,TRUE
15.87,perfumaria,Protetor Diário Johnson & Johnson Carefree Todo Dia Sem Perfume C/80,TRUE
6.96,perfumaria,Sabonete Líquido Protex Para Mãos Vitamina E 200mL,TRUE
65.97,perfumaria,Fralda Pampers Premium Care Mega Pack XXG c/24,TRUE
19.90,perfumaria,Kit Pantene Hidratação Xampu (Shampoo) 175mL + Condicionador 175mL,TRUE
2.97,perfumaria,Sab.protex 85g Pro Hidr.oil Co.oliva,TRUE
1.59,perfumaria,Sab.palmolive 85g Hidrat.saudav.aloe Oli,TRUE
11.90,perfumaria,Desodorante Rexona Aerossol Erva Doce 90g,TRUE
14.97,perfumaria,Loção Hidratante Johnson's Body Lotion Lavanda e Camomila 200mL,TRUE
2.39,perfumaria,Sabonete Ann Bow Neutro 90g,TRUE
5.97,perfumaria,Escova Dental Condor Trip Macia 35 Leve 2 Pague 1,TRUE
24.35,perfumaria,Antisséptico Bucal Colgate Plax Mint Leve 1000mL pague 700mL,TRUE
2.15,perfumaria,Água Oxigenada Butterfly 30% 100 mL,TRUE
12.79,perfumaria,Condicionador Huggies Turma da Mônica Camomila 200mL,TRUE
2.49,perfumaria,Sabonete Huggies Turma da Mônica Camomila 75g,TRUE
8.45,perfumaria,Aparelho de Depilar Gillette Prestobarba for Women c/2,TRUE
14.90,perfumaria,Desodorante Dove Aerossol Minerais + Sálvia 89g,TRUE
7.49,perfumaria,Desodorante Nivea Roll-On Dry Impact 50mL,TRUE
1.99,perfumaria,Sabonete Protex Balance Saudável 85g,TRUE
6.19,perfumaria,Gel Dental Colgate Natural Extra Detox 90g,TRUE
2.49,perfumaria,Sabonete Huggies Turma da Mônica Suave 75g,TRUE
39.97,perfumaria,Fralda Huggies Turma da Mônica Tripla Proteção Mega G c/48,TRUE
5.79,perfumaria,Creme Dental Colgate Total 12 Gengiva Saudável 70g,TRUE
18.90,perfumaria,Fralda Cremer Magic Care XG c/20,TRUE
26.50,perfumaria,Condicionador L'Oréal Elseve Quera-Liso Escova 400mL,TRUE
3.49,perfumaria,Sabonete Johnson & Johnson Amêndoas 80g,TRUE
6.97,perfumaria,Creme Dental Crest Complete Whitening+ Scope Dualblast 164g,TRUE
7.49,perfumaria,Desodorante Nivea Roll-On Toque de Seda 50mL,TRUE
24.90,perfumaria,Escova Dental Colgate 360 Macia c/5,TRUE
39.97,perfumaria,Papel Higiênico Neve Folha Dupla 30m Leve 24 Pague 21,TRUE
8.49,perfumaria,Xampu (Shampoo) Palmolive Neutro 350mL,TRUE
14.90,perfumaria,Desodorante Dove Aerossol Beauty Finish 89g,TRUE
9.10,perfumaria,Fita Dental Saniffil 100m,TRUE
3.49,perfumaria,Gel Dental Sorriso Fresh Plus Hortelã Explosion 90g,TRUE
3.49,perfumaria,Gel Dental Sorriso Fresh Plus Menthol Impact 90g,TRUE
11.99,perfumaria,Antisséptico Bucal Colgate Plax Menta 250mL,TRUE
25.90,perfumaria,Kit Head & Shoulders Remoção da Oleosidade Xampu (Shampoo) 200mL + Condicionador 200mL,TRUE
11.90,perfumaria,Desodorante Rexona Aerossol Active Emotion V8 90g,TRUE
2.79,perfumaria,Sabonete Palmolive Esfoliação Delicada Jasmim e Manteiga de Cacau 150g,TRUE
11.97,perfumaria,Desod.aero Nivea 150ml B W Fresh Masc.,TRUE
9.90,perfumaria,Desodorante Old Spice Aerossol Matador 150mL,TRUE
17.29,perfumaria,Lenço Umedecido Dove Hidratação Enriquecida c/50,TRUE
23.75,perfumaria,Xampu (Shampoo) L'Oréal Elseve Hydra Detox 48h 400mL,TRUE
9.35,perfumaria,Desodorante Rexona Roll-On Invisible Masculino 50mL,TRUE
2.99,perfumaria,"Esparadrapo Cremer Impermeável Branco 2,5cm x 90cm",TRUE
12.99,perfumaria,Xampu (Shampoo) L'Oréal Elseve Arginina Resist X3 200mL,TRUE
6.97,perfumaria,Sabonete Líquido Rumo Verde Morango Spumante 290mL,TRUE
3.49,perfumaria,Sabonete Líquido Rumo Verde Amor e Carinho Refil 200mL,TRUE
26.85,perfumaria,Xampu (Shampoo) Clear Limpeza Diária 2x1 400mL,TRUE
9.59,perfumaria,Xampu (Shampoo) Phisalia Trá Lá Lá 2 em 1 Meninos 480mL,TRUE
21.97,perfumaria,Desodorante Creme Rexona 48G Clinical Extra Dry,TRUE
3.49,perfumaria,Gel Dental Sorriso Fresh Plus Xtra Mint 90g,TRUE
4.97,perfumaria,Bucha Vegetal Banho Fresh,TRUE
11.97,perfumaria,Desodorante Nivea Aerossol Black & White 150mL,TRUE
11.49,perfumaria,Xampu (Shampoo) Palmolive 2x1 Anti-Caspa e Anti-Queda 350mL,TRUE
8.99,perfumaria,Creme Dental Oral-B Pro-Saúde 70g Leve 3 e Pague 2,TRUE
